trade_id,base_trade_id,entry_model_key,entry_family,ob_id,direction,structure_tag,detection_time,fill_time,fill_session,exit_time,outcome,entry,stop,tp,risk,rr_multiple,pnl_r,gross_r,spread_cost_r,slippage_cost_r,commission_r,total_cost_r,net_r,fill_candle_open,fill_candle_high,fill_candle_low,fill_candle_close,fill_candle_index,exit_candle_index,bars_to_exit,minutes_to_exit,same_candle_exit,max_ob_penetration_price,max_ob_penetration_pct,max_ob_penetration_pips,ob_fully_breached,fill_penetration_pct,fill_penetration_pips,entry_depth_pct,ob_entry_depth_pct,effective_entry_depth_pct,original_edge_entry,adjusted_entry,max_distance_away_before_fill_price,max_distance_away_before_fill_pips,max_distance_away_before_fill_r,stop_buffer,stop_buffer_pips,rr_config,protection_mode,protection_threshold_pct,protection_exit_reason,protection_exit_price,protection_trigger_time,protection_trigger_penetration_pct,close_confirmed_ob_breach,close_breach_time,close_breach_price,close_breach_distance_pips,close_breach_distance_pct,close_breach_session,close_breach_hour,entry_model,entry_threshold_pct,planned_entry_price,actual_entry_price,entry_model_filled,trigger_penetration_pct,trigger_time,trigger_candle_index,armed_at,armed_on_trigger_candle,armed_same_candle,filled_on_trigger_candle,same_candle_entry_allowed,fill_delay_candles,entry_level_pct,edge_revisit_time,trigger_to_entry_minutes,cancelled_before_entry,cancel_reason,tapped_before_trigger,tapped_time,tapped_candle_index,retrace_cancel_time,retrace_cancel_distance_pips,missed_trade,missed_reason,bars_to_fill,minutes_to_fill,news_blackout,news_blackout_trigger_time,news_blackout_event_time,news_blackout_currency,news_blackout_impact,news_blackout_event,news_blackout_window_start,news_blackout_window_end,news_blackout_minutes_from_event,news_action,paused_reason,paused_at,paused_window_start,paused_window_end,rearmed_at,blackout_event_time,blackout_currency,blackout_impact,news_touch_cancel_time,news_flatten_time,news_flatten_price,news_flatten_r,news_flatten_target_time,news_flatten_late,news_flatten_minutes_before_blackout,ob_origin_news_window,ob_detection_news_window,ob_origin_news_event,ob_detection_news_event,ob_origin_news_currency,ob_detection_news_currency,ob_origin_news_impact,ob_detection_news_impact,ob_origin_news_event_time,ob_detection_news_event_time,ob_origin_news_window_start,ob_origin_news_window_end,ob_detection_news_window_start,ob_detection_news_window_end,ob_origin_minutes_from_news,ob_detection_minutes_from_news,delay_candles_configured,arm_candle_index,exited_ob_before_arm,ob_occupied_at_arm,armed_after_ob_exit,ob_exit_candle_index,ob_exit_time,price_distance_from_ob_at_arm_pips,delay_window_min_price,delay_window_max_price,retraced_out_before_arm,fft_move_away_pips_at_cancel,mfe_r,mae_r,r_if_no_target,r_if_no_target_model,bookable_mfe_r,bookable_mfe_model,mae_r_to_original_exit,post_stop_mfe_r,post_stop_reached_original_tp,post_stop_bars_to_1r,post_stop_lookahead_bars,post_stop_model,ghost_candidate,ghost_trigger_reached,ghost_fill,ghost_outcome,ghost_r,ghost_mae,ghost_mfe,ghost_fill_delay_candles,ghost_fill_session,be_scenario_key,be_arm_level_r,be_trigger_basis,be_armed,be_arm_candle_index,be_arm_time,be_triggered,be_exit_reason,be_exit_r,be_exit_price,be_exit_time,be_exit_candle_index,risk_reduction_applied,risk_reduction_kind,risk_reduction_trigger_r,risk_reduction_stop_r,risk_reduction_source,stop_moved_to_r,stop_move_time,risk_amount,weighted_r,risk_amount_source,execution_trade_number,market_state,trend_state,volatility_state,chop_state,ema_value,ema_relation,px_vs_ema,bbw_value,bbw_threshold,adx_value,state_confirmed,state_known_at,shifted_days,source,version,regime_block_reason,portfolio_policy_version,portfolio_policy_regime,portfolio_decision_reason,portfolio_confidence,portfolio_status,portfolio_cohort_key,portfolio_would_block,portfolio_would_block_reason,state_eligibility
S_4,S_4,entry_baseline,baseline,4,bearish,BOS,2015-01-09 13:30:00+00:00,2015-01-09 13:30:00+00:00,New York,2015-01-09 13:30:00+00:00,LOSS,1.18099,1.18211,1.17875,0.0011200000000000099,2.0,-1.0535714285714282,-1.0,0.0178571428571427,0.0357142857142854,0.0,0.053571428571428104,-1.0535714285714282,1.18153,1.18256,1.17828,1.18212,8127,8127,0,0.0,True,0.0015700000000000713,153.92156862745483,15.700000000000713,True,153.92156862745483,15.700000000000713,0.0,0.0,0.0,1.18099,1.18099,0.0,0.0,0.0,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.18099,1.18099,True,,,,,,,,,,,,,False,,False,,,,,False,,0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2620920.0,-2620890.0,,,,,,,,,,,,,0.0,-1.401786,-1.0,stop_anchored,0.0,native_fill_rules,-1.401786,4.196429,True,1,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.053571,default,1,,,,,1.2075788895741943,below,-2.350065061521656,,2.342,95.87082002047616,True,2015-01-09T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|newYork|bos_short,False,,
S_3,S_3,entry_baseline,baseline,3,bearish,BOS,2015-01-08 08:45:00+00:00,2015-01-11 22:01:00+00:00,Outside,2015-01-11 22:31:00+00:00,LOSS,1.18471,1.18595,1.1822299999999997,0.0012400000000001299,2.0,-1.0483870967741884,-1.0,0.016129032258062826,0.03225806451612565,0.0,0.04838709677418848,-1.0483870967741884,1.18472,1.1848,1.18472,1.18475,8638,8668,30,30.0,False,0.0012499999999999734,109.64912280700165,12.499999999999734,True,7.894736842117052,0.9000000000014552,0.0,0.0,0.0,1.18471,1.18471,0.009279999999999955,92.79999999999954,7.483870967741115,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.18471,1.18471,True,,,,,,,,,,,,,False,,False,,,,,False,,2236,5116.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2623395.0,-2622615.0,,,,,,,,,,,,,0.169355,-1.008065,-1.0,stop_anchored,0.169355,native_fill_rules,-1.008065,-0.790323,False,,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.048387,default,2,,,,,1.2073448707724612,below,-1.9286014573088495,,2.342,95.29205640114844,True,2015-01-11T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|outside|bos_short,False,,
L_5,L_5,entry_baseline,baseline,5,bullish,CHoCH,2015-01-09 15:15:00+00:00,2015-01-13 12:34:00+00:00,New York,2015-01-13 13:43:00+00:00,LOSS,1.17859,1.1771800000000001,1.1814099999999998,0.0014099999999999113,2.0,-1.0425531914893644,-1.0,0.01418439716312146,0.02836879432624292,0.0,0.04255319148936438,-1.0425531914893644,1.17888,1.17888,1.1784,1.17851,10950,11019,69,69.0,False,0.0016400000000000858,125.19083969467046,16.40000000000086,True,14.503816793904257,1.900000000001345,0.0,0.0,0.0,1.17859,1.17859,0.008489999999999887,84.89999999999885,6.021276595744979,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.17859,1.17859,True,,,,,,,,,,,,,False,,False,,,,,False,,2718,5599.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2620815.0,-2620785.0,,,,,,,,,,,,,0.560284,-1.163121,-1.0,stop_anchored,0.560284,native_fill_rules,-1.163121,-0.439716,False,,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.042553,default,3,,,,,1.2069037065285573,below,-1.965666887940412,,2.342,92.40764520485082,True,2015-01-13T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|newYork|choch_long,False,,
L_7,L_7,entry_baseline,baseline,7,bullish,CHoCH,2015-01-14 07:30:00+00:00,2015-01-14 09:28:00+00:00,London,2015-01-14 09:33:00+00:00,LOSS,1.1766,1.17578,1.1782400000000002,0.0008200000000000429,2.0,-1.0731707317073131,-1.0,0.02439024390243775,0.0487804878048755,0.0,0.07317073170731325,-1.0731707317073131,1.17705,1.17712,1.17647,1.17653,12203,12208,5,5.0,False,0.0009200000000000319,127.77777777777264,9.200000000000319,True,18.055555555579968,1.3000000000018552,0.0,0.0,0.0,1.1766,1.1766,0.0045199999999998575,45.199999999998575,5.512195121950757,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.1766,1.1766,True,,,,,,,,,,,,,False,,False,,,,,False,,118,118.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2614740.0,-2614050.0,,,,,,,,,,,,,0.634146,-1.121951,-1.0,stop_anchored,0.073171,native_fill_rules,-1.121951,-0.52439,False,,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.073171,default,4,,,,,1.2066131223839947,below,-2.396221443942934,,2.342,91.465871307418,True,2015-01-14T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|london|choch_long,False,,
S_8,S_8,entry_baseline,baseline,8,bearish,CHoCH,2015-01-14 09:30:00+00:00,2015-01-14 13:30:00+00:00,New York,2015-01-14 13:33:00+00:00,LOSS,1.17974,1.18122,1.1767800000000002,0.0014799999999999258,2.0,-1.0405405405405426,-1.0,0.01351351351351419,0.02702702702702838,0.0,0.04054054054054257,-1.0405405405405426,1.17743,1.18011,1.17742,1.18,12445,12448,3,3.0,False,0.0016300000000000203,118.11594202899238,16.300000000000203,True,26.811594202898437,3.6999999999998145,0.0,0.0,0.0,1.17974,1.17974,0.007009999999999961,70.09999999999961,4.736486486486697,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.17974,1.17974,True,,,,,,,,,,,,,False,,False,,,,,False,,240,240.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2614005.0,-2613930.0,,,,,,,,,,,,,1.567568,-1.101351,-1.0,stop_anchored,0.439189,native_fill_rules,-1.101351,-0.398649,False,,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.040541,default,5,,,,,1.2066131223839947,below,-2.396221443942934,,2.342,91.465871307418,True,2015-01-14T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,DIRECTION_AWARE,policy_direction_aware,HIGH,ENABLED,EURUSD|newYork|choch_short,False,,
S_6,S_6,entry_baseline,baseline,6,bearish,CHoCH,2015-01-13 12:45:00+00:00,2015-01-14 13:51:00+00:00,New York,2015-01-14 14:20:00+00:00,WIN,1.18451,1.18606,1.18141,0.0015499999999999403,2.0,1.9612903225806437,2.0,0.01290322580645211,0.02580645161290422,0.0,0.03870967741935633,1.9612903225806437,1.18329,1.18464,1.18327,1.1845,12466,12495,29,29.0,False,0.00012999999999996348,8.965517241377093,1.2999999999996348,False,8.965517241377093,1.2999999999996348,0.0,0.0,0.0,1.18451,1.18451,0.011779999999999902,117.79999999999902,7.600000000000229,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.18451,1.18451,True,,,,,,,,,,,,,False,,False,,,,,False,,1505,1506.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2615760.0,-2615175.0,,,,,,,,,,,,,97.083871,-1.051613,-1.0,stop_anchored,97.083871,native_fill_rules,-0.083871,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,1.96129,default,6,,,,,1.2066131223839947,below,-2.396221443942934,,2.342,91.465871307418,True,2015-01-14T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,DIRECTION_AWARE,policy_direction_aware,HIGH,ENABLED,EURUSD|newYork|choch_short,False,,
S_10,S_10,entry_baseline,baseline,10,bearish,BOS,2015-01-16 14:15:00+00:00,2015-01-19 15:40:00+00:00,NY PM,2015-01-19 17:55:00+00:00,WIN,1.16375,1.16497,1.16131,0.0012199999999999989,2.0,1.9508196721311475,2.0,0.016393442622950834,0.03278688524590167,0.0,0.0491803278688525,1.9508196721311475,1.16362,1.16388,1.16362,1.16367,16895,17030,135,135.0,False,0.00012999999999996348,11.607142857139493,1.2999999999996348,False,11.607142857139493,1.2999999999996348,0.0,0.0,0.0,1.16375,1.16375,0.017750000000000155,177.50000000000153,14.549180327868992,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.16375,1.16375,True,,,,,,,,,,,,,False,,False,,,,,False,,1525,4405.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2611170.0,-2610765.0,,,,,,,,,,,,,7.95082,-3.47541,-1.0,stop_anchored,7.95082,native_fill_rules,-0.106557,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,1.95082,default,7,,,,,1.2049227153302307,below,-4.050277640990058,,2.342,90.39642494838846,True,2015-01-19T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,MEDIUM,ENABLED,EURUSD|ny_pm|bos_short,False,,
L_11,L_11,entry_baseline,baseline,11,bullish,CHoCH,2015-01-19 09:00:00+00:00,2015-01-20 01:18:00+00:00,Asia,2015-01-20 17:41:00+00:00,LOSS,1.15752,1.15504,1.1624800000000002,0.0024800000000000377,2.0,-1.0241935483870963,-1.0,0.008064516129032136,0.016129032258064273,0.0,0.02419354838709641,-1.0241935483870963,1.15763,1.15768,1.15751,1.15757,17472,18455,983,983.0,False,0.0025800000000000267,108.40336134453672,25.800000000000267,True,0.42016806722963473,0.10000000000065512,0.0,0.0,0.0,1.15752,1.15752,0.006359999999999921,63.59999999999921,2.5645161290321874,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.15752,1.15752,True,,,,,,,,,,,,,False,,False,,,,,False,,977,978.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2606820.0,-2606760.0,,,,,,,,,,,,,1.604839,-1.040323,-1.0,stop_anchored,1.604839,native_fill_rules,-1.040323,-0.939516,False,,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.024194,default,8,,,,,1.2044704495060492,below,-3.736119015996099,,2.342,88.69440014688833,True,2015-01-20T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,insufficient_data,MORE_DATA_REQUIRED,ENABLED,EURUSD|asia|choch_long,False,,
S_12,S_12,entry_baseline,baseline,12,bearish,CHoCH,2015-01-20 17:30:00+00:00,2015-01-21 13:54:00+00:00,New York,2015-01-21 14:16:00+00:00,LOSS,1.16256,1.16398,1.15972,0.0014199999999999768,2.0,-1.0422535211267612,-1.0,0.014084507042253752,0.028169014084507504,0.0,0.042253521126761256,-1.0422535211267612,1.162,1.16258,1.16174,1.16258,19668,19690,22,22.0,False,0.0015099999999999003,114.3939393939329,15.099999999999003,True,1.5151515151446335,0.1999999999990898,0.0,0.0,0.0,1.16256,1.16256,0.008510000000000018,85.10000000000016,5.992957746478983,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.16256,1.16256,True,,,,,,,,,,,,,False,,False,,,,,False,,1224,1224.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2606370.0,-2604810.0,,,,,,,,,,,,,0.577465,-1.06338,-1.0,stop_anchored,0.077465,native_fill_rules,-1.06338,4.267606,True,19,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.042254,default,9,,,,,1.2039736291129544,below,-4.10587307874637,,2.342,87.1655901923357,True,2015-01-21T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,DIRECTION_AWARE,policy_direction_aware,HIGH,ENABLED,EURUSD|newYork|choch_short,False,,
L_13,L_13,entry_baseline,baseline,13,bullish,CHoCH,2015-01-21 14:45:00+00:00,2015-01-22 13:40:00+00:00,New York,2015-01-22 13:40:00+00:00,LOSS,1.15525,1.15395,1.1578500000000003,0.0013000000000000789,2.0,-1.0461538461538433,-1.0,0.015384615384614452,0.030769230769228904,0.0,0.04615384615384335,-1.0461538461538433,1.16072,1.16072,1.15185,1.15193,21091,21091,0,0.0,True,0.0034000000000000696,283.3333333333179,34.000000000000696,True,283.3333333333179,34.000000000000696,0.0,0.0,0.0,1.15525,1.15525,0.012739999999999974,127.39999999999974,9.799999999999384,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.15525,1.15525,True,,,,,,,,,,,,,False,,False,,,,,False,,1372,1375.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2604690.0,-2603535.0,,,,,,,,,,,,,0.0,-2.615385,-1.0,stop_anchored,0.0,native_fill_rules,-2.615385,6.569231,True,4,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.046154,default,10,,,,,1.2035507074302385,below,-3.4963801001859847,,2.342,84.290796516508,True,2015-01-22T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|newYork|choch_long,False,,
S_16,S_16,entry_baseline,baseline,16,bearish,CHoCH,2015-02-03 05:15:00+00:00,2015-02-03 06:57:00+00:00,Asia,2015-02-03 07:49:00+00:00,WIN,1.13389,1.13561,1.1328580000000001,0.0017199999999999438,0.6,0.5651162790697662,0.6,0.011627906976744566,0.02325581395348913,0.0,0.034883720930233696,0.5651162790697662,1.1338,1.13392,1.1338,1.13392,32204,32255,51,52.0,False,0.0008599999999998609,53.08641975307932,8.599999999998609,False,1.851851851850329,0.2999999999997449,0.0,0.0,0.0,1.13389,1.13389,0.0016899999999999693,16.899999999999693,0.982558139534898,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.13389,1.13389,True,,,,,,,,,,,,,False,,False,,,,,False,,102,102.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2586000.0,-2585385.0,,,,,,,,,,,,,1.540698,-1.122093,-1.0,stop_anchored,1.540698,native_fill_rules,-0.5,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.565116,default,11,Bear/Expand,Bear,Expand,Trend,1.1964209725051196,below,-5.228174191409202,7.801704317849438,2.342,59.8475020988292,True,2015-02-03T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,MEDIUM,ENABLED,EURUSD|asia|choch_short,False,,
L_17,L_17,entry_baseline,baseline,17,bullish,CHoCH,2015-02-03 13:00:00+00:00,2015-02-04 21:36:00+00:00,Outside,2015-02-04 21:43:00+00:00,WIN,1.13282,1.13114,1.134332,0.0016799999999999038,0.9,0.8642857142857122,0.9,0.011904761904762588,0.023809523809525175,0.0,0.035714285714287766,0.8642857142857122,1.13308,1.13308,1.13257,1.13261,34517,34524,7,7.0,False,0.0012600000000000389,79.74683544304474,12.600000000000389,False,15.822784810118668,2.4999999999986144,0.0,0.0,0.0,1.13282,1.13282,0.020560000000000134,205.60000000000133,12.238095238096019,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.13282,1.13282,True,,,,,,,,,,,,,False,,False,,,,,False,,1951,1956.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2585160.0,-2584920.0,,,,,,,,,,,,,1.238095,-1.392857,-1.0,stop_anchored,1.238095,native_fill_rules,-0.75,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.864286,default,12,Bear/Expand,Bear,Expand,Trend,1.1959157886990985,below,-4.203121087127459,7.1360912033113815,2.342,55.89090755073197,True,2015-02-04T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,STATE_ONLY,policy_state_only,HIGH,ENABLED,EURUSD|outside|choch_long,False,,
S_18,S_18,entry_baseline,baseline,18,bearish,CHoCH,2015-02-04 23:15:00+00:00,2015-02-05 18:15:00+00:00,Outside,2015-02-05 19:46:00+00:00,WIN,1.14879,1.15005,1.1469,0.0012600000000000389,1.5,1.4523809523809539,1.5,0.015873015873015383,0.031746031746030766,0.0,0.047619047619046145,1.4523809523809539,1.14844,1.14952,1.14827,1.14933,35756,35847,91,91.0,False,0.0010900000000000354,93.96551724137832,10.900000000000354,False,62.931034482766215,7.300000000001194,0.0,0.0,0.0,1.14879,1.14879,0.018399999999999972,183.99999999999972,14.60317460317413,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.14879,1.14879,True,,,,,,,,,,,,,False,,False,,,,,False,,1140,1140.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2584545.0,-2582865.0,,,,,,,,,,,,,81.388889,-1.357143,-1.0,stop_anchored,81.388889,native_fill_rules,-0.865079,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,1.452381,default,13,Bear/Expand,Bear,Expand,Trend,1.195276328115028,below,-5.323148013427811,6.541086185810088,2.342,52.136452903768316,True,2015-02-05T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,DIRECTION_AWARE,policy_direction_aware,HIGH,ENABLED,EURUSD|outside|choch_short,False,,
S_19,S_19,entry_baseline,baseline,19,bearish,BOS,2015-02-09 12:30:00+00:00,,NY PM,,STATE_BLOCKED,1.13451,1.13605,1.1314299999999997,0.0015400000000000968,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.13451,1.13451,0.007479999999999931,74.7999999999993,4.857142857142507,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.13451,,False,,,,,,,,,,,,,False,state_target_block,False,,,,,True,state_target_block,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2576550.0,-2576310.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.0,default,,Bear/Expand,Bear,Expand,Trend,1.1935394400373769,below,-5.2105056566399925,4.811741588364235,2.342,42.498607715784814,True,2015-02-09T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,MEDIUM,ENABLED,EURUSD|ny_pm|bos_short,False,,
S_20,S_20,entry_baseline,baseline,20,bearish,BOS,2015-02-11 17:15:00+00:00,,Outside,,STATE_BLOCKED,1.13254,1.13322,1.1311800000000005,0.0006799999999997919,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.13254,1.13254,0.0045400000000002105,45.4000000000021,6.676470588237647,0.0001,1,2,baseline,,,,,,,,,,,,,baseline,,1.13254,,False,,,,,,,,,,,,,False,state_target_block,False,,,,,True,state_target_block,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2574045.0,-2573145.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.0,default,,Bear/Expand,Bear,Expand,Trend,1.1923235124110831,below,-5.071904712236638,4.31691105303092,2.342,37.61787288102052,True,2015-02-11T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|outside|bos_short,False,,
